sample,reagent,buffer,area_p4,area_f,area_b
1,DCM,Zymo1,N/A,N/A,N/A
2,DCM,Zymo2,N/A,N/A,N/A
3,DCM,Zymo3,N/A,N/A,N/A
4,DCM,Qiagen1,223100,1467,N/A
5,DCM,Qiagen2,81750,N/A,1300
6,DCM,Qiagen3,84730,N/A,N/A
7,DCM,Monarch1,19920,N/A,N/A
8,DCM,Monarch2,32600,N/A,686
9,DCM,Monarch3,14670,N/A,N/A
10,EA,Zymo1,N/A,N/A,N/A
11,EA,Zymo2,N/A,N/A,N/A
12,EA,Zymo3,N/A,N/A,N/A
13,EA,Qiagen1,26030,N/A,N/A
14,EA,Qiagen2,34780,N/A,N/A
15,EA,Qiagen3,35510,N/A,N/A
16,EA,Monarch1,N/A,N/A,N/A
17,EA,Monarch2,N/A,N/A,N/A
18,EA,Monarch3,N/A,N/A,N/A
19,DCM,BLKD1,150000,11820,11360
20,DCM,BLKD2,141500,12240,9259
21,DCM,BLKD3,78260,N/A,5443
22,EA,BLKE1,91730,30140,6945
23,EA,BLKE2,100200,46010,3957
24,EA,BLKE3,92420,21620,7444
25,HEX/ACN,CONTROL1,357100,80220,29280
26,HEX/ACN,CONTROL2,339600,75040,27830
27,HEX/ACN,CONTROL3,440600,98120,39110
28,HEX/ACN,CONTROL4,287600,63330,25930
29,HEX/ACN,CONTROL5,192300,44490,16790
30,HEX/ACN,CONTROL6,364800,86010,34540
